frametime, crtcoll, drawtime, crtupdate 
2.9343,2.2656,0.6258,0.031
2.9716,2.2846,0.6451,0.0304
2.8678,2.2091,0.6165,0.0308
3.1607,2.2335,0.6515,0.0305
2.9206,2.2474,0.6204,0.0326
2.9244,2.2438,0.6328,0.0316
2.8392,2.1785,0.6178,0.0313
2.8409,2.1704,0.6277,0.0308
3.0193,2.3548,0.6199,0.0322
2.9587,2.2746,0.6406,0.0323
2.8246,2.1705,0.6122,0.0306
2.8245,2.1546,0.6276,0.0308
2.8024,2.1474,0.613,0.0304
2.8777,2.1805,0.6532,0.031
2.9059,2.238,0.6246,0.0314
2.9216,2.2328,0.6466,0.0308
3.0606,2.3942,0.6235,0.0312
2.9753,2.3011,0.6318,0.031
2.8351,2.1654,0.627,0.0311
2.8646,2.1846,0.637,0.0311
2.9478,2.2777,0.6274,0.0308
2.9609,2.2683,0.6491,0.0318
2.8955,2.2248,0.6269,0.0323
2.9198,2.2358,0.6416,0.0308
2.8703,2.2012,0.6261,0.031
2.9289,2.25,0.635,0.0322
2.8905,2.2202,0.6258,0.0316
2.8866,2.2222,0.621,0.0309
2.8214,2.1652,0.6144,0.0305
2.9434,2.2809,0.6205,0.0307
2.8339,2.1792,0.6134,0.0298
2.9133,2.2513,0.6191,0.0315
2.8308,2.1746,0.6141,0.0308
2.8583,2.1824,0.6331,0.0309
2.9413,2.2864,0.6127,0.0309
3.0056,2.3238,0.6399,0.0306
2.8091,2.1546,0.6124,0.0306
2.8378,2.1733,0.6223,0.0307
2.8309,2.1777,0.612,0.0299
2.7922,2.1283,0.6227,0.0301
2.7881,2.1313,0.6151,0.0304
2.9632,2.3004,0.62,0.03
2.9221,2.2674,0.6126,0.0306
2.9369,2.2516,0.6433,0.0304
2.8107,2.1566,0.6115,0.0309
2.9727,2.2881,0.6422,0.0311
2.7773,2.1212,0.6146,0.0303
2.9782,2.3028,0.6338,0.0302
3.0158,2.3615,0.6128,0.03
2.8087,2.1361,0.6306,0.0308
3.1309,2.1919,0.6359,0.0304
2.8726,2.1955,0.6343,0.0307
2.9218,2.267,0.6124,0.0309
2.8682,2.1994,0.6267,0.0306
2.8138,2.1581,0.6142,0.03
3.0515,2.3622,0.6473,0.0304
3.013,2.3514,0.6192,0.0309
2.8327,2.1523,0.6384,0.0304
2.9699,2.3106,0.6173,0.0306
2.9596,2.2723,0.6434,0.0323
2.805,2.147,0.6165,0.03
2.9536,2.2704,0.6413,0.0303
2.7986,2.1396,0.6171,0.0304
2.9762,2.2859,0.6487,0.03
2.8283,2.1726,0.6131,0.0309
2.9614,2.2793,0.6403,0.0302
2.9322,2.2771,0.6128,0.0306
2.8692,2.1895,0.6374,0.0307
2.8539,2.1967,0.6152,0.0303
2.89,2.2131,0.6346,0.0305
2.8734,2.2153,0.6152,0.031
3.0576,2.3733,0.6413,0.0313
2.8007,2.1442,0.6129,0.032
3.0068,2.3281,0.6356,0.0307
2.8525,2.189,0.6163,0.0319
2.9092,2.2185,0.6418,0.0317
2.902,2.2158,0.6413,0.0318
2.8706,2.1833,0.6428,0.0315
2.846,2.1899,0.6137,0.0309
2.9223,2.2491,0.6295,0.0318
2.8066,2.1466,0.6165,0.031
2.787,2.117,0.6281,0.0304
2.8291,2.1722,0.6147,0.0304
2.9297,2.2549,0.6332,0.03
2.92,2.2578,0.6201,0.0305
2.8294,2.1528,0.6346,0.0301
2.8132,2.1534,0.6172,0.031
3.0355,2.3733,0.6205,0.0304
2.8655,2.199,0.625,0.0302
2.8472,2.1745,0.6309,0.0302
2.8216,2.1609,0.6181,0.03
2.9282,2.2434,0.6428,0.0303
2.8761,2.2191,0.6145,0.031
2.8081,2.1474,0.6185,0.0307
2.8633,2.2099,0.6115,0.0303
2.8918,2.2256,0.6245,0.03
2.8476,2.191,0.6143,0.0302
2.8848,2.2139,0.628,0.031
2.8744,2.2175,0.6151,0.0304
2.8397,2.152,0.6451,0.0313
2.8027,2.1462,0.6139,0.031
2.8578,2.178,0.6366,0.0312
2.9018,2.2441,0.6154,0.0309
2.9114,2.2475,0.6219,0.0305
2.8591,2.2013,0.6154,0.0306
2.8008,2.1144,0.6443,0.0306
3.0143,2.3575,0.6149,0.0303
2.8298,2.1612,0.6267,0.0302
3.0115,2.3522,0.6169,0.0308
2.7942,2.1222,0.6296,0.0307
2.7884,2.1306,0.6152,0.0309
